Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,Location,Vehicle Cutted in 5 years intervals
EJ7873004H,210038526,Gaithersburg Police Depar,Property Damage Crash,09/29/2021 07:15:00 AM,Maryland (State),S FREDERICK RD,FULKS CORNER AVE,,GAITHERSBURG,,ANGLE MEETS LEFT TURN,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,4C936BC5-661C-42A8-9E47-F61E823B05CB,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,3BCAAAF4-EF0F-48B2-90E1-AC8533FA9A9E,DISABLING,ONE OCLOCK,PICKUP TRUCK,MAKING LEFT TURN,North,30,No,No,2005,CHEV,TK,39.13986321,-77.19642877,"(39.13986321, -77.19642877)",2005
MCP211600CT,210002455,Montgomery County Police,Property Damage Crash,01/20/2021 10:54:00 AM,County,SPRING ST,FAIRVIEW RD,,,,SAME DIRECTION LEFT TURN,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,3943DC43-81C7-4FE0-9488-C1B9F5669DBE,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,0DF73516-1636-4614-9EDA-B38C39B3A96B,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MAKING U TURN,South,25,No,No,2020,TESLA,TK,38.99993,-77.02886667,"(38.99993, -77.02886667)",2020
MCP289200HF,250021525,MONTGOMERY,Property Damage Crash,05/15/2025 08:16:00 PM,County Route,GRACE CHURCH RD,SECOND AVE,,,,Angle,Clear,Dry,Dark - Lighted,Stop Sign,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,40F75692-C830-4330-9DF1-B7B35D0260A4,No,No Apparent Injury,,Not Distracted,MD,5761C2C9-F162-423C-AA77-0B68EF1548EF,Functional,Three O Clock,Passenger Car,Entering Traffic Lane,,20,No,No,2016,TOYOTA,HIGHLANDER,39.00397252,-77.04094907,"(39.00397252, -77.04094907)",2015
MCP2305001M,190029596,Montgomery County Police,Property Damage Crash,06/20/2019 10:20:00 PM,County,DAVIS MILL RD,HUNTMASTER RD,,,,SINGLE VEHICLE,CLEAR,DRY,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,,6879AE89-8A73-4FD1-BC73-575877E0DC32,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,935B9ED0-FD76-429D-931F-D8090A875786,DESTROYED,SIX OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,30,No,No,2004,LINC,4S,39.21318167,-77.205325,"(39.21318167, -77.205325)",2000
MCP26330037,230027825,Montgomery County Police,Property Damage Crash,06/09/2023 06:32:00 PM,Maryland (State),ROCKVILLE PIKE,TUCKERMAN LA,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,UNKNOWN,,F6B5A271-70A1-4EBB-B4D5-3BA51B72BEB0,Yes,NO APPARENT INJURY,,UNKNOWN,MD,5B1D2E85-C5F7-4B44-91E9-C8AE83F99589,UNKNOWN,TWELVE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,South,35,No,No,2020,HONDA,ACCORD,39.03068093,-77.1051754,"(39.03068093, -77.1051754)",2020
MCP3034000C,17010601,Montgomery County Police,Property Damage Crash,02/27/2017 10:47:00 PM,US (State),COLUMBIA PIKE,BRIGGS CHANEY RD,,,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,FCCEC113-A90B-44F2-9442-42D5747E2092,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,ED464E2F-C628-4FFE-BDA1-29AC4A8E42DB,SUPERFICIAL,SIX OCLOCK,(SPORT) UTILITY VEHICLE,STOPPED IN TRAFFIC LANE,North,40,No,No,1998,TOYOTA,4RUNNER,39.08258506,-76.94805443,"(39.08258506, -76.94805443)",1995
MCP3042002D,190013202,Montgomery County Police,Injury Crash,03/22/2019 12:20:00 PM,Maryland (State),GEORGIA AVE,RANDOLPH RD,,,,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,8F80EB2D-978E-46F0-8E10-B3F377EF2D9E,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,17DADF5B-31BC-4CC8-98A2-8FCD1BA3C486,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,South,35,No,No,2007,HOND,4S,39.05844,-77.05021167,"(39.05844, -77.05021167)",2005
MCP3445001C,250053420,MONTGOMERY,Injury Crash,11/29/2025 02:00:00 PM,Interstate (State),EISENHOWER MEMORIAL HWY (SB/L),,,,,Front to Rear,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,056A6CB2-B736-4FC6-BBD6-EE559D475BD0,Yes,Suspected Minor Injury,"Disregarded Other Road Markings, Failed to Keep in Proper Lane, Failed to Yield Right-of-Way, Improper Turn, Operated Motor Vehicle in Inattentive, Careless, Negligent, or Erratic Manner",Not Distracted,MD,E9BF6C41-90E0-497B-819F-C91547868C95,Disabling,Seven O Clock,Passenger Car,Changing Lanes,Southbound,55,No,No,2019,TOYOTA,C-HR,39.0211867,-77.10590528,"(39.0211867, -77.10590528)",2015
EJ7872000X,190001125,Gaithersburg Police Depar,Injury Crash,01/07/2019 06:50:00 PM,Maryland (State),QUINCE ORCHARD RD,TWIN LAKES DR,,GAITHERSBURG,,SAME DIR REAR END,,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,F18B4446-89F6-486D-B14A-2B8F4145093A,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,E02D50B4-DA89-4982-8B4A-44E09C6AC7CC,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,West,0,No,No,2003,HONDA,TK,39.12920278,-77.23008206,"(39.12920278, -77.23008206)",2000
MCP2766002N,16026506,Montgomery County Police,Property Damage Crash,05/27/2016 07:00:00 PM,,TABIONA DR,TABIONA CT,,,,SAME DIR REAR END,,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,811EF8B1-DFD5-4865-8BCD-B2512667A0B2,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,51C4459D-7A75-40D6-972A-7AD2FED24CD3,FUNCTIONAL,ONE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,North,15,No,No,2007,FORD,EDGE,39.10221333,-77.054265,"(39.10221333, -77.054265)",2005
