,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,Location,temperature,apparent_temperature,humidity,weather_code,precipitation,snowfall,wind_speed,wind_direction,soil_temperature,soil_moisture,sunrise,sunset,day_or_night_code
0,0,0,0,MCP3130004M,220015468,Montgomery County Police,Property Damage Crash,04/12/2022 07:40:00 AM,Maryland (State),GEORGIA AVE,CONNECTICUT AVE,,,,SAME DIRECTION SIDESWIPE,CLOUDY,DRY,DAWN,NO CONTROLS,UNKNOWN,,AE74B926-04FF-4449-8979-0F123BF906F4,Yes,NO APPARENT INJURY,,UNKNOWN,,3A7F0032-3426-4F24-8B6D-89BE6EFE3090,SUPERFICIAL,TEN OCLOCK,PASSENGER CAR,CHANGING LANES,North,35,No,No,2017,FORD,ESCAPE,39.08491167,-77.07606833,"(39.08491167, -77.07606833)",,,,,,,,,,,,,
1,1,1,1,MCP29520027,16031710,Montgomery County Police,Injury Crash,06/23/2016 10:35:00 AM,Interstate (State),CAPITAL BELTWAY,GEORGIA AVE,,,,SAME DIR REAR END,RAINING,WET,DAYLIGHT,,NONE DETECTED,,BE33362B-5120-4F36-9A10-9429F4657E67,No,POSSIBLE INJURY,"N/A, WET",NOT DISTRACTED,MD,89ACEC91-A18B-4D59-8B94-00DDBF69371E,SUPERFICIAL,SIX OCLOCK,TRANSIT BUS,STOPPED IN TRAFFIC LANE,East,45,No,No,2016,GILL,BUS,39.01329833,-77.04582167,"(39.01329833, -77.04582167)",21.72249984741211,25.565502166748047,96.68815612792969,63.0,3.200000047683716,0.0,4.320000171661377,270.0,21.872499465942383,0.5180000066757202,04:43:00,19:37:00,0
2,2,2,2,MCP1048001D,16011658,MONTGOMERY,Property Damage Crash,03/09/2016 07:00:00 AM,Maryland (State),FALLS RD,DEMOCRACY BLVD,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,,,354B3827-46A0-4C53-B50A-85FA666A5A5A,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,4B2F2C17-55EA-4A8A-A840-0B3A95BA00B1,DISABLING,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,35,No,No,2009,HOND,4S,39.02637167,-77.20439667,"(39.02637167, -77.20439667)",7.693999767303467,5.690190315246582,85.96522521972656,2.0,0.0,0.0,6.119999885559082,241.9276123046875,8.493999481201172,0.4390000104904175,06:28:00,18:09:00,0
3,3,3,3,MCP2667004Q,180023612,Montgomery County Police,Injury Crash,05/14/2018 06:55:00 AM,County,MUNCASTER RD,WILD FLOWER CT,,,,HEAD ON,CLOUDY,WET,DAYLIGHT,,NONE DETECTED,,67BB3509-370C-4DD7-85B6-EB05D7544125,No,POSSIBLE INJURY,"N/A, WET",NOT DISTRACTED,MD,940C3526-E267-445F-8669-C44E6CA94E98,DESTROYED,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,30,No,No,2001,TOYOTA,SEQUOIA,39.17624283,-77.11835033,"(39.17624283, -77.11835033)",14.791500091552734,15.844381332397461,99.03753662109375,3.0,0.0,0.0,3.3190360069274902,139.39878845214844,15.491499900817871,0.40700000524520874,04:55:00,19:13:00,0
4,4,4,4,MCP3030003D,200018469,Montgomery County Police,Property Damage Crash,05/06/2020 03:02:00 PM,Maryland (State),RIVER RD,SEVEN LOCKS RD,,,,SAME DIR REAR END,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,C7479669-A22D-4BDA-BA1E-D8A7C0B70642,Yes,NO APPARENT INJURY,"N/A, WET",INATTENTIVE OR LOST IN THOUGHT,VA,0D314665-6F90-4427-AF44-63410168ECEF,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,40,No,No,2007,TOYT,CAMRY,38.99268867,-77.161965,"(38.99268867, -77.161965)",12.024999618530273,10.097997665405273,85.25506591796875,61.0,1.5,0.0,12.599998474121094,323.1300048828125,12.625,0.5059999823570251,05:04:00,19:06:00,1
5,5,5,5,MCP1378013R,230012792,Montgomery County Police,Injury Crash,03/16/2023 02:01:00 PM,Maryland (State),QUINCE ORCHARD RD,FIRSTFIELD RD,,GAITHERSBURG,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,8607E8DE-8AF6-4574-AA05-F545190AA357,No,SUSPECTED MINOR INJURY,,NOT DISTRACTED,NC,5D561C01-567A-44D8-B9A3-DA408E11BDAD,FUNCTIONAL,SIX OCLOCK,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,North,35,No,No,2007,CHEVROLET,SUBURBAN,39.14533048,-77.21998028,"(39.14533048, -77.21998028)",14.670000076293945,11.715600967407227,27.138347625732422,0.0,0.0,0.0,9.832679748535156,203.74949645996094,11.720000267028809,0.43299999833106995,06:18:00,18:16:00,1
6,6,6,6,MCP27630055,250019858,MONTGOMERY,Property Damage Crash,05/06/2025 10:35:00 AM,County Route,NORTH KINDLY CT,,,,,Single Vehicle,Cloudy,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,0502FE28-947C-4E5A-B6FE-7F2D51E44F9F,No,No Apparent Injury,Ran Off Roadway,Unknown,MD,8A2BF44A-D409-462E-BCD6-C55ED1FCFBFB,Superficial,Five O Clock,Passenger Car,,Northbound,20,No,No,2021,NISSAN,ALTIMA,39.16996197,-77.20979993,"(39.16996197, -77.20979993)",17.725500106811523,18.09218406677246,83.9387435913086,63.0,5.699999809265137,0.0,8.88040542602539,252.2994842529297,18.32550048828125,0.5040000081062317,05:04:00,19:07:00,0
7,7,7,7,MCP2072007F,240004755,MONTGOMERY,Injury Crash,01/30/2024 08:20:00 AM,County Route,GUNNERS BRANCH RD,,,,,Rear To Rear,Clear,Dry,Daylight,Flashing Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,652534FF-71DD-469E-BC52-D4EFA4FF3479,No,Suspected Minor Injury,,Not Distracted,MD,3795AD7C-F96F-4443-8D2C-98562632E3C7,Superficial,Six O Clock,Passenger Car,Leaving Traffic Lane,Eastbound,20,No,No,2015,TOYOTA,SIENNA,39.17842433,-77.23870021,"(39.17842433, -77.23870021)",2.9845001697540283,-0.2898879051208496,71.50370788574219,3.0,0.0,0.0,6.214563369750977,79.9920883178711,4.884500026702881,0.4690000116825104,07:17:00,17:26:00,0
8,8,8,8,MCP20640010,240015928,MONTGOMERY,Property Damage Crash,04/05/2024 01:53:00 PM,County Route,,,,,,Angle,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,BF25B3A0-0370-4C48-BE33-A93BB864B735,No,No Apparent Injury,,Unknown,MD,5577BAD3-2F8C-43AD-9B05-93FB46A6DF0B,Disabling,One O Clock,Passenger Car,Backing,Northbound,30,No,No,2018,MERCEDES-BENZ,UNKNOWN,39.04151151,-77.16966196,"(39.04151151, -77.16966196)",10.321999549865723,5.376694679260254,50.46540451049805,51.0,0.10000000149011612,0.0,24.162946701049805,303.4533386230469,10.92199993133545,0.4860000014305115,05:45:00,18:36:00,1
9,9,9,9,MCP2594002C,170501563,Montgomery County Police,Injury Crash,04/11/2017 12:08:00 PM,County,COLESBERG ST,VALENCIA ST,,,,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,49F4DAE3-3277-4E9D-8C6B-97E747D32EE1,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,E64EC4ED-DF1A-498D-88BB-523740C02740,SUPERFICIAL,ELEVEN OCLOCK,PASSENGER CAR,PARKED,,25,No,Yes,2016,DODGE,RAM,39.1065935,-76.98351283,"(39.1065935, -76.98351283)",27.237499237060547,27.93044662475586,33.26780700683594,3.0,0.0,0.0,7.56856632232666,272.72625732421875,19.537500381469727,0.41600000858306885,05:36:00,18:41:00,0
